Number,Artist,Streams,Feats,Tracks,Billion,Million
314,Lil Skies,"3,968,361,888","544,047,899",75,0,9
315,Nio Garcia,"3,960,430,779","174,098,397",124,0,7
316,Tones And I,"3,957,800,698","5,232,238",33,1,5
317,Kesha,"3,955,337,905","39,496,270",139,0,10
318,Backstreet Boys,"3,949,466,238","6,402,079",145,1,8
319,Aventura,"3,943,857,084","4,905,865,217",123,0,12
320,Flume,"3,942,056,858","39,660,958",145,0,9
321,Dr. Dre,"3,941,098,327","699,574,957",75,0,8
322,Miguel,"3,933,509,386","873,635,526",145,0,8
323,Jul,"3,931,452,487","1,335,247",572,0,0
324,Lizzo,"3,911,061,177",0,79,0,8
325,Billy Joel,"3,885,486,622","18,747,880",383,0,10
326,ROSALÍA,"3,871,106,303","146,654",61,0,8
327,Calibre 50,"3,859,723,768","1,117,326,282",226,0,10
328,Phil Collins,"3,836,785,174",0,339,0,9
329,Matheus & Kauan,"3,831,562,276","62,540,256",179,0,12
330,Akon,"3,813,017,846","876,355,276",207,0,9
331,Jason Aldean,"3,797,816,243","1,134",166,0,8
332,Eagles,"3,784,792,723","436,178,161",189,1,8
333,George Ezra,"3,745,977,355","3,853,999,824",76,0,7
334,Yandel,"3,731,724,067","194,535,961",175,0,9
335,Prince Royce,"3,724,376,964",0,127,0,10
336,The Offspring,"3,713,219,015","4,310,489,285",159,0,7
337,24kGoldn,"3,705,648,954","1,036,388,958",62,1,7
338,Three Days Grace,"3,698,665,397","937,757,024",96,0,8
339,Wesley Safadão,"3,698,314,476","5,692,666,319",283,0,6
340,Anderson .Paak,"3,694,145,511","606,712,238",152,0,5
341,The Strokes,"3,688,560,624","1,690,872,391",82,0,6
342,Don Toliver,"3,686,151,351","3,762,124",66,1,5
343,Conan Gray,"3,684,167,999","1,427,914,798",35,0,10
344,Dan + Shay,"3,680,653,230","231,488,539",73,0,9
345,Rex Orange County,"3,678,846,424","138,810,390",58,0,8
346,Jeremih,"3,674,742,679","543,326,342",140,0,8
347,benny blanco,"3,661,450,439","2,887,125,495",23,1,7
348,Cartel De Santa,"3,655,552,123","24,281,620",136,0,10
349,Avenged Sevenfold,"3,634,693,374","1,808,585,763",163,0,9
350,Ricardo Arjona,"3,629,270,035",0,341,0,3
351,Céline Dion,"3,626,954,646","952,817,602",492,0,9
352,Ninho,"3,614,658,124","313,902,252",146,0,4
353,Måneskin,"3,603,994,073","1,360,259,448",33,1,7
354,Alejandro Sanz,"3,592,290,895",0,380,0,6
355,Lin-Manuel Miranda,"3,592,135,787","378,905",95,0,14
356,Ricky Martin,"3,568,196,300","2,478,742,591",278,0,8
357,Jessie J,"3,563,453,628",0,117,1,7
358,Lost Frequencies,"3,556,401,142","137,641,031",421,0,10
359,Danny Ocean,"3,541,587,214","939,497,796",61,1,8
360,Maiara & Maraisa,"3,531,976,169","4,423,329",156,0,12
361,Steve Aoki,"3,527,393,369","1,343,266",437,0,6
362,Lil Mosey,"3,517,585,999","463,313,203",50,1,5
363,Marc Anthony,"3,504,819,748","14,222,939",197,0,8
364,H.E.R.,"3,476,314,834","3,118,921,754",102,0,8
365,Nelly,"3,464,996,085","62,804,762",211,0,9
366,Charli XCX,"3,464,311,470",0,219,0,8
367,Pablo Alborán,"3,437,809,914","47,313,864",173,0,8
368,2 Chainz,"3,429,709,034","5,081,836,495",409,0,7
369,Train,"3,423,789,545",0,185,1,8
370,Passenger,"3,415,074,486","184,240,949",233,1,2
371,Lukas Graham,"3,410,790,500","3,924,285,642",66,1,4
372,Mark Ronson,"3,400,585,305","98,804,484",151,1,4
373,CNCO,"3,399,584,158","102,139,066",89,0,7
374,Foster The People,"3,393,389,914","25,567,335",96,1,7
375,Calum Scott,"3,392,200,109",0,84,0,6
376,Dire Straits,"3,390,427,781","85,729,842",107,0,5
377,Alec Benjamin,"3,389,530,976","2,245,144,528",46,1,8
378,Daniel Caesar,"3,387,218,135","3,009,354,038",37,0,8
379,Bee Gees,"3,383,127,730","29,797,048",470,0,6
380,Tate McRae,"3,371,616,079","2,028,969,469",53,0,8
381,Bryan Adams,"3,365,887,458","739,286,985",394,0,8
382,Summer Walker,"3,363,193,393","517,135,427",91,0,9
383,Trey Songz,"3,357,005,694","1,295,854,047",268,0,7
384,Bob Dylan,"3,352,960,099","498,204,068","1,308",0,6
385,Grupo Firme,"3,348,434,531","503,968,381",205,0,8
386,Armin van Buuren,"3,340,463,682","673,800,705","2,051",0,4
387,Rels B,"3,327,775,726","1,884,183,028",107,0,5
388,Boyce Avenue,"3,287,510,482","6,192,858,304",450,0,3
389,Pentatonix,"3,285,741,959","4,265,483",201,0,2
390,Ski Mask The Slump God,"3,276,018,075","302,858,918",73,0,7
391,R3HAB,"3,274,814,964","540,870,550",336,0,4
392,LANY,"3,270,335,409","2,141,323,366",86,0,8
393,Tainy,"3,255,357,184","5,360,562,962",44,1,5
394,PARTYNEXTDOOR,"3,243,038,851",0,80,0,9
395,La Arrolladora Banda El Limón De Rene Camacho,"3,236,920,653",0,332,0,5
396,James Blunt,"3,226,977,012","231,077,825",172,0,6
397,The Police,"3,222,974,290","352,247,735",122,1,7
398,Cage The Elephant,"3,219,794,411","301,358,086",109,0,6
399,Fetty Wap,"3,217,362,515","1,097,279,258",138,0,7
400,Jeremy Zucker,"3,215,507,829","163,740,766",96,0,8
401,Dean Lewis,"3,212,555,492","63,757,921",48,1,6
402,John Williams,"3,211,135,011","247,574,441","2,410",0,2
403,Bibi Blocksberg,"3,207,503,226","43,371,022","5,203",0,0
404,Artist,Lead Streams,Feats,Tracks,1b,100m
405,Outkast,"3,196,044,035","119,832,137",222,0,6
406,Becky Hill,"3,194,644,880","396,587,742",195,0,10
407,Sam Hunt,"3,189,888,914","2,403,169,234",61,0,8
408,Sigala,"3,182,931,037","77,042,747",118,0,9
409,Carlos Vives,"3,181,877,775","1,957,856,299",276,0,6
410,Jhené Aiko,"3,178,645,401","521,301,528",114,0,7
411,Rudimental,"3,160,482,589","997,641",208,0,6
412,ScHoolboy Q,"3,147,481,533","1,656,164,329",89,0,8
413,Marvin Gaye,"3,143,836,699","709,421,106",750,0,7
414,Offset,"3,141,568,579","156,055,221",53,1,7
415,Stray Kids,"3,120,244,998","544,047,899",169,0,5
416,Sam Feldt,"3,107,699,941","174,098,397",173,0,6
417,Iron Maiden,"3,103,589,124","5,232,238",426,0,7
418,Zac Brown Band,"3,100,596,570","39,496,270",141,0,7
419,Jax Jones,"3,080,700,501","6,402,079",89,0,12
420,ILLENIUM,"3,076,454,009","4,905,865,217",218,0,4
421,Joan Sebastian,"3,063,649,523","39,660,958",506,0,8
422,Hillsong Worship,"3,062,386,056","699,574,957",847,0,4
423,Kali Uchis,"3,055,543,671","873,635,526",67,0,4
424,Skillet,"3,050,996,601","1,335,247",195,0,7
425,Juanes,"3,046,714,537",0,201,0,8
426,Blake Shelton,"3,044,373,576","18,747,880",203,0,9
427,alt-J,"3,025,145,409","146,654",145,0,8
